Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b1160818	"When reporting a cert error (from certerror page), browser console says ""Sending message that cannot be cloned. Are you trying to send an XPCOM object?"""	https://bugzilla.mozilla.org/show_bug.cgi?id=1160818	"
a/browser/base/content/content.js"
b310373	"Dragging & Dropping a link on the ""New Window""/""New Tab"" buttons can load priviliged xul"	https://bugzilla.mozilla.org/show_bug.cgi?id=310373	"
browser/base/content/browser.js"
b921090	Upgrade Firefox to NSS 3.15.2 to fix bug 894370	https://bugzilla.mozilla.org/show_bug.cgi?id=921090	"
a/security/coreconf/coreconf.dep
a/security/nss/TAG-INFO
a/security/nss/TAG-INFO-CKBI
a/security/nss/lib/libpkix/include/pkix_pl_pki.h
a/security/nss/lib/libpkix/pkix/top/pkix_build.c
a/security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_cert.c
a/security/nss/lib/nss/nss.h
a/security/nss/lib/softoken/pkcs11.c
a/security/nss/lib/softoken/softkver.h
a/security/nss/lib/ssl/ssl3con.c
a/security/nss/lib/util/nssutil.h"
b271559	Countermeasures for Java/plugin/extension vulnerabilities (disable, warn, offer updates)	https://bugzilla.mozilla.org/show_bug.cgi?id=271559	"
a/toolkit/mozapps/extensions/src/nsExtensionManager.js.in"
b1217156	Add a preference to turn on/off insecure password warnings	https://bugzilla.mozilla.org/show_bug.cgi?id=1217156	"
a/browser/app/profile/firefox.js
a/browser/base/content/browser.js
a/browser/base/content/test/general/browser_insecureLoginForms.js"
b1241292	"Revisit ""Your login could be compromised"" string for Insecure Password Warning"	https://bugzilla.mozilla.org/show_bug.cgi?id=1241292	"
a/browser/components/controlcenter/content/panel.inc.xul
a/browser/locales/en-US/chrome/browser/browser.dtd"
b354316	adding news feed reader causes trouble	https://bugzilla.mozilla.org/show_bug.cgi?id=354316	"
feeds/src/WebContentConverter.js"
b407369	BrowserOnCommand() for Firefox netError page uses wrong location object	https://bugzilla.mozilla.org/show_bug.cgi?id=407369	"
browser/base/content/browser.js"
b307770	"Can't install XPI with a click on the link with target=""_blank"""	https://bugzilla.mozilla.org/show_bug.cgi?id=307770	"
browser/base/content/browser.js
xpinstall/src/nsInstallTrigger.cpp"
b376473	[mz2] file action dialog controls vulnerable to refocus race	https://bugzilla.mozilla.org/show_bug.cgi?id=376473	"
toolkit/mozapps/downloads/src/nsHelperAppDlg.js.in
toolkit/content/commonDialog.js"
b410156	URL files (IE bookmarks) cause remote code to run as local file when opened directly	https://bugzilla.mozilla.org/show_bug.cgi?id=410156	"
toolkit/components/commandlines/src/nsCommandLine.cpp
toolkit/components/commandlines/test/Makefile.in
toolkit/components/commandlines/test/unit/test_bug410156.js.in
toolkit/components/commandlines/test/unit/test_bug410156.desktop
toolkit/components/commandlines/test/unit/test_bug410156.url"
b1194874	"Maybe switch ""run by"" text to ""owned by"" for EV certificates in the Control Center"	https://bugzilla.mozilla.org/show_bug.cgi?id=1194874	"
a/browser/components/controlcenter/content/panel.inc.xul
a/browser/locales/en-US/chrome/browser/browser.dtd"
b896211	browser.mixedcontent.warning.infoURL should use SSL	https://bugzilla.mozilla.org/show_bug.cgi?id=896211	"
a/browser/app/profile/firefox.js
a/browser/base/content/browser.js"
b672485	Holding enter allows arbitrary extension installation.	https://bugzilla.mozilla.org/show_bug.cgi?id=672485	"
a/toolkit/mozapps/extensions/amWebInstallListener.js
a/toolkit/mozapps/extensions/test/xpinstall/Makefile.in
a/toolkit/mozapps/extensions/test/xpinstall/browser_bug672485.js
a/toolkit/mozapps/extensions/test/xpinstall/head.js"
b317380	"The status bar domain name display is not updated when the ""back"" button is clicked (bfcache, XSLT)"	https://bugzilla.mozilla.org/show_bug.cgi?id=317380	"
content/base/public/nsIDocument.h
content/base/src/nsDocument.cpp
content/xslt/src/base/txURIUtils.cpp
content/xslt/src/xslt/txMozillaTextOutput.cpp"
b294074	arbitrary code execution via sidebar (part 3)	https://bugzilla.mozilla.org/show_bug.cgi?id=294074	"
mozilla/browser/base/content/browser.js"
b781018	Telemetry data for Mixed Content (display and script)	https://bugzilla.mozilla.org/show_bug.cgi?id=781018	"
a/content/base/src/nsDocument.cpp
a/content/base/src/nsDocument.h
a/docshell/base/nsDocShell.cpp
a/toolkit/components/telemetry/Histograms.json"
b878606	SSL Warning UI Telmetry should only measure top level frame warnings	https://bugzilla.mozilla.org/show_bug.cgi?id=878606	"
a/browser/base/content/browser.js
a/docshell/base/nsDocShell.cpp
a/security/manager/boot/public/nsISecurityUITelemetry.idl
a/security/manager/pki/resources/content/exceptionDialog.js"
